Time Bucket (America/Los_Angeles),Main panel-Mains_A (kWhs),Main panel-Mains_B (kWhs),Main panel-Mains_C (kWhs),Main panel-Water Heater-Tankless water heater (kWhs),Main panel-Pump-Sump pump (kWhs),Main panel-Garage/Shop/Barn/Shed-Trash motion detector (kWhs),Main panel-Pump-Pool pump (kWhs),Main panel-Pump-Spa pump (kWhs),Main panel-Garage/Shop/Barn/Shed-Garden shed (kWhs),Main panel-Circuit_7 (kWhs),Main panel-Circuit_8 (kWhs),Main panel-Circuit_9 (kWhs),Main panel-Circuit_10 (kWhs),Main panel-Circuit_11 (kWhs),Main panel-Solar/Generation-Generator (kWhs),Main panel-Air Conditioner-Air Conditioner (kWhs),Main panel-Solar/Generation-Solar inverter (kWhs),Main panel-Cooktop/Range/Oven/Stove-Oven (kWhs),Main panel-Cooktop/Range/Oven/Stove-Stove (kWhs)
01/01/2024 00:00:00,No CT,-0.6330,-1.8208,0.0000,No CT,0.0210,0.0000,0.0000,0.0478,No CT,No CT,No CT,No CT,No CT,-0.0000,0.0391,-0.0117,No CT,0.0094
01/01/2024 01:00:00,No CT,-0.2022,-1.4574,0.0000,No CT,0.0000,0.0000,0.0000,0.0481,No CT,No CT,No CT,No CT,No CT,-0.0000,0.0389,-0.0103,No CT,0.0027
01/01/2024 02:00:00,No CT,-0.1885,-1.6171,0.0000,No CT,0.0000,0.0000,0.0000,0.0481,No CT,No CT,No CT,No CT,No CT,-0.0000,0.0395,-0.0107,No CT,0.0008
01/01/2024 03:00:00,No CT,-0.1979,-1.7029,0.0000,No CT,0.0000,0.0000,0.0000,0.0481,No CT,No CT,No CT,No CT,No CT,-0.0000,0.0391,-0.0110,No CT,0.0059
01/01/2024 04:00:00,No CT,-0.1621,-1.6439,0.0000,No CT,0.0000,0.0000,0.0000,0.0482,No CT,No CT,No CT,No CT,No CT,-0.0000,0.0394,-0.0110,No CT,0.0074
01/01/2024 05:00:00,No CT,-0.2137,-1.7614,0.0000,No CT,0.0000,0.0000,0.0000,0.0482,No CT,No CT,No CT,No CT,No CT,-0.0000,0.0394,-0.0113,No CT,0.0074
01/01/2024 06:00:00,No CT,-0.2161,-1.6146,0.0000,No CT,0.0005,0.0000,0.0000,0.0470,No CT,No CT,No CT,No CT,No CT,-0.0000,0.0382,-0.0111,No CT,0.0066
01/01/2024 07:00:00,No CT,-0.2196,-1.6636,0.0000,No CT,0.0082,0.0000,0.0000,0.0460,No CT,No CT,No CT,No CT,No CT,-0.0000,0.0380,-0.0173,No CT,0.0066
01/01/2024 08:00:00,No CT,-0.6018,-1.8878,0.0033,No CT,0.0001,0.0000,0.0000,0.0412,No CT,No CT,No CT,No CT,No CT,-0.0000,0.0366,-0.1675,No CT,0.0011
01/01/2024 09:00:00,No CT,-0.5290,-1.9111,0.0011,No CT,0.0000,0.0000,0.0000,0.0651,No CT,No CT,No CT,No CT,No CT,-0.0000,0.0375,-0.4033,No CT,0.0005
01/01/2024 10:00:00,No CT,-0.5534,-1.7445,0.0012,No CT,0.0000,0.0000,0.0000,0.0402,No CT,No CT,No CT,No CT,No CT,-0.0000,0.0355,-0.6549,No CT,0.0003
01/01/2024 11:00:00,No CT,-0.6417,-3.3580,0.0042,No CT,0.0000,0.0000,0.0000,0.0433,No CT,No CT,No CT,No CT,No CT,-0.0000,0.0380,-1.1108,No CT,0.0029
01/01/2024 12:00:00,No CT,-0.8047,-2.6305,0.0084,No CT,0.0000,0.0000,0.0000,0.0441,No CT,No CT,No CT,No CT,No CT,-0.0000,0.0383,-1.4358,No CT,0.0015
01/01/2024 13:00:00,No CT,-0.5627,-2.9091,0.0003,No CT,0.0000,0.0000,0.0000,0.0421,No CT,No CT,No CT,No CT,No CT,-0.0000,0.0380,-1.4995,No CT,0.0015
01/01/2024 14:00:00,No CT,-0.7409,-2.4828,0.0033,No CT,0.0001,0.0000,0.0000,0.0430,No CT,No CT,No CT,No CT,No CT,-0.0000,0.0389,-1.3399,No CT,0.0011
01/01/2024 15:00:00,No CT,-0.6055,-2.6225,0.0003,No CT,0.0000,0.0000,0.0000,0.0459,No CT,No CT,No CT,No CT,No CT,-0.0000,0.0397,-0.5557,No CT,0.0010
01/01/2024 16:00:00,No CT,-0.8515,-2.4694,0.0000,No CT,0.0042,0.0000,0.0000,0.0671,No CT,No CT,No CT,No CT,No CT,-0.0000,0.0393,-0.0464,No CT,0.0005
01/01/2024 17:00:00,No CT,-0.7108,-2.7080,0.0000,No CT,0.0309,0.0000,0.0000,0.0478,No CT,No CT,No CT,No CT,No CT,-0.0000,0.0392,-0.0102,No CT,0.0010
01/01/2024 18:00:00,No CT,-1.2944,-3.3642,0.0013,No CT,0.0090,0.0000,0.0000,0.0484,No CT,No CT,No CT,No CT,No CT,-0.0000,0.0395,-0.0132,No CT,0.0085
01/01/2024 19:00:00,No CT,-0.7920,-2.8111,0.0000,No CT,0.0042,0.0000,0.0000,0.0487,No CT,No CT,No CT,No CT,No CT,-0.0000,0.0395,-0.0121,No CT,0.0112
01/01/2024 20:00:00,No CT,-1.1286,-3.7631,0.0018,No CT,0.0170,0.0000,0.3454,0.0514,No CT,No CT,No CT,No CT,No CT,-0.0000,0.0376,-0.0141,No CT,0.0116
01/01/2024 21:00:00,No CT,-1.6355,-3.3241,0.0051,No CT,0.0042,0.3472,0.0000,0.0497,No CT,No CT,No CT,No CT,No CT,-0.0000,0.0393,-0.0137,No CT,0.0110
01/01/2024 22:00:00,No CT,-2.2171,-4.1579,0.0030,No CT,0.0089,0.6231,0.0000,0.0498,No CT,No CT,No CT,No CT,No CT,-0.0000,0.0396,-0.0159,No CT,0.0117
01/01/2024 23:00:00,No CT,-0.9640,-2.9399,0.0038,No CT,0.0001,0.0000,0.0000,0.0502,No CT,No CT,No CT,No CT,No CT,-0.0000,0.0399,-0.0130,No CT,0.0115
01/02/2024 00:00:00,No CT,-0.4659,-3.7162,0.0031,No CT,0.0115,0.0000,0.0000,0.0513,No CT,No CT,No CT,No CT,No CT,-0.0000,0.0394,-0.0131,No CT,0.0121
